LOCATION,SUBJECT,TIME,VALUE
European Area,TOT,2000,0.91
European Area,TOT,2001,0.92
European Area,TOT,2002,0.92
European Area,TOT,2003,0.93
European Area,TOT,2004,0.94
European Area,TOT,2005,0.95
European Area,TOT,2006,0.97
European Area,TOT,2007,0.98
European Area,TOT,2008,0.98
European Area,TOT,2009,0.95
European Area,TOT,2010,0.97
European Area,TOT,2011,0.99
European Area,TOT,2012,0.98
European Area,TOT,2013,0.98
European Area,TOT,2014,0.99
European Area,TOT,2015,1.0
European Area,TOT,2016,1.0
European Area,TOT,2017,1.02
European Area,TOT,2018,1.02
European Area,TOT,2019,1.02
European Area,TOT,2020,0.97
European Area,TOT,2021,1.01
European Area,TOT,2022,1.02
European Area,TOT,2023,1.01
European Area,TOT,2024,1.02
