"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUT","WORKEXPOV","SNGL2CHLD","HR_AVEWAGE","A","2019",19,
"AUT","WORKEXPOV","SNGL2CHLD","HR_AVEWAGE","A","2020",20,
"AUT","WORKEXPOV","SNGL2CHLD","HR_AVEWAGE","A","2021",20,
"AUT","WORKEXPOV","SNGL2CHLD","HR_AVEWAGE","A","2022",21,
"AUT","WORKEXPOV","SNGLNOCHLD","HR_AVEWAGE","A","2019",14,
"AUT","WORKEXPOV","SNGLNOCHLD","HR_AVEWAGE","A","2020",14,
"AUT","WORKEXPOV","SNGLNOCHLD","HR_AVEWAGE","A","2021",14,
"AUT","WORKEXPOV","SNGLNOCHLD","HR_AVEWAGE","A","2022",14,
"BEL","WORKEXPOV","SNGL2CHLD","HR_AVEWAGE","A","2019",15,
"BEL","WORKEXPOV","SNGL2CHLD","HR_AVEWAGE","A","2020",14,
"BEL","WORKEXPOV","SNGL2CHLD","HR_AVEWAGE","A","2021",15,
"BEL","WORKEXPOV","SNGL2CHLD","HR_AVEWAGE","A","2022",16,
"BEL","WORKEXPOV","SNGLNOCHLD","HR_AVEWAGE","A","2019",11,
"BEL","WORKEXPOV","SNGLNOCHLD","HR_AVEWAGE","A","2020",11,
"BEL","WORKEXPOV","SNGLNOCHLD","HR_AVEWAGE","A","2021",11,
"BEL","WORKEXPOV","SNGLNOCHLD","HR_AVEWAGE","A","2022",12,
"CZE","WORKEXPOV","SNGL2CHLD","HR_AVEWAGE","A","2019",29,
"CZE","WORKEXPOV","SNGL2CHLD","HR_AVEWAGE","A","2020",28,
"CZE","WORKEXPOV","SNGL2CHLD","HR_AVEWAGE","A","2021",26,
"CZE","WORKEXPOV","SNGL2CHLD","HR_AVEWAGE","A","2022",25,
"CZE","WORKEXPOV","SNGLNOCHLD","HR_AVEWAGE","A","2019",18,
"CZE","WORKEXPOV","SNGLNOCHLD","HR_AVEWAGE","A","2020",18,
"CZE","WORKEXPOV","SNGLNOCHLD","HR_AVEWAGE","A","2021",16,
"CZE","WORKEXPOV","SNGLNOCHLD","HR_AVEWAGE","A","2022",17,
"DNK","WORKEXPOV","SNGL2CHLD","HR_AVEWAGE","A","2019",10,
"DNK","WORKEXPOV","SNGL2CHLD","HR_AVEWAGE","A","2020",8,
"DNK","WORKEXPOV","SNGL2CHLD","HR_AVEWAGE","A","2021",9,
"DNK","WORKEXPOV","SNGL2CHLD","HR_AVEWAGE","A","2022",20,
"DNK","WORKEXPOV","SNGLNOCHLD","HR_AVEWAGE","A","2019",17,
"DNK","WORKEXPOV","SNGLNOCHLD","HR_AVEWAGE","A","2020",17,
"DNK","WORKEXPOV","SNGLNOCHLD","HR_AVEWAGE","A","2021",16,
"DNK","WORKEXPOV","SNGLNOCHLD","HR_AVEWAGE","A","2022",18,
"FIN","WORKEXPOV","SNGL2CHLD","HR_AVEWAGE","A","2019",16,
"FIN","WORKEXPOV","SNGL2CHLD","HR_AVEWAGE","A","2020",15,
"FIN","WORKEXPOV","SNGL2CHLD","HR_AVEWAGE","A","2021",16,
"FIN","WORKEXPOV","SNGL2CHLD","HR_AVEWAGE","A","2022",17,
"FIN","WORKEXPOV","SNGLNOCHLD","HR_AVEWAGE","A","2019",13,
"FIN","WORKEXPOV","SNGLNOCHLD","HR_AVEWAGE","A","2020",12,
"FIN","WORKEXPOV","SNGLNOCHLD","HR_AVEWAGE","A","2021",13,
"FIN","WORKEXPOV","SNGLNOCHLD","HR_AVEWAGE","A","2022",13,
"FRA","WORKEXPOV","SNGL2CHLD","HR_AVEWAGE","A","2019",14,
"FRA","WORKEXPOV","SNGL2CHLD","HR_AVEWAGE","A","2020",15,
"FRA","WORKEXPOV","SNGL2CHLD","HR_AVEWAGE","A","2021",15,
"FRA","WORKEXPOV","SNGL2CHLD","HR_AVEWAGE","A","2022",16,
"FRA","WORKEXPOV","SNGLNOCHLD","HR_AVEWAGE","A","2019",10,
"FRA","WORKEXPOV","SNGLNOCHLD","HR_AVEWAGE","A","2020",11,
"FRA","WORKEXPOV","SNGLNOCHLD","HR_AVEWAGE","A","2021",11,
"FRA","WORKEXPOV","SNGLNOCHLD","HR_AVEWAGE","A","2022",11,
"DEU","WORKEXPOV","SNGL2CHLD","HR_AVEWAGE","A","2019",12,
"DEU","WORKEXPOV","SNGL2CHLD","HR_AVEWAGE","A","2020",9,
"DEU","WORKEXPOV","SNGL2CHLD","HR_AVEWAGE","A","2021",9,
"DEU","WORKEXPOV","SNGL2CHLD","HR_AVEWAGE","A","2022",10,
"DEU","WORKEXPOV","SNGLNOCHLD","HR_AVEWAGE","A","2019",13,
"DEU","WORKEXPOV","SNGLNOCHLD","HR_AVEWAGE","A","2020",13,
"DEU","WORKEXPOV","SNGLNOCHLD","HR_AVEWAGE","A","2021",13,
"DEU","WORKEXPOV","SNGLNOCHLD","HR_AVEWAGE","A","2022",13,
"GRC","WORKEXPOV","SNGL2CHLD","HR_AVEWAGE","A","2019",16,
"GRC","WORKEXPOV","SNGL2CHLD","HR_AVEWAGE","A","2020",17,
"GRC","WORKEXPOV","SNGL2CHLD","HR_AVEWAGE","A","2021",16,
"GRC","WORKEXPOV","SNGL2CHLD","HR_AVEWAGE","A","2022",16,
"GRC","WORKEXPOV","SNGLNOCHLD","HR_AVEWAGE","A","2019",12,
"GRC","WORKEXPOV","SNGLNOCHLD","HR_AVEWAGE","A","2020",12,
"GRC","WORKEXPOV","SNGLNOCHLD","HR_AVEWAGE","A","2021",11,
"GRC","WORKEXPOV","SNGLNOCHLD","HR_AVEWAGE","A","2022",11,
"HUN","WORKEXPOV","SNGL2CHLD","HR_AVEWAGE","A","2019",16,
"HUN","WORKEXPOV","SNGL2CHLD","HR_AVEWAGE","A","2020",14,
"HUN","WORKEXPOV","SNGL2CHLD","HR_AVEWAGE","A","2021",15,
"HUN","WORKEXPOV","SNGL2CHLD","HR_AVEWAGE","A","2022",16,
"HUN","WORKEXPOV","SNGLNOCHLD","HR_AVEWAGE","A","2019",15,
"HUN","WORKEXPOV","SNGLNOCHLD","HR_AVEWAGE","A","2020",14,
"HUN","WORKEXPOV","SNGLNOCHLD","HR_AVEWAGE","A","2021",14,
"HUN","WORKEXPOV","SNGLNOCHLD","HR_AVEWAGE","A","2022",14,
"IRL","WORKEXPOV","SNGL2CHLD","HR_AVEWAGE","A","2019",18,
"IRL","WORKEXPOV","SNGL2CHLD","HR_AVEWAGE","A","2020",19,
"IRL","WORKEXPOV","SNGL2CHLD","HR_AVEWAGE","A","2021",19,
"IRL","WORKEXPOV","SNGL2CHLD","HR_AVEWAGE","A","2022",11,
"IRL","WORKEXPOV","SNGLNOCHLD","HR_AVEWAGE","A","2019",11,
"IRL","WORKEXPOV","SNGLNOCHLD","HR_AVEWAGE","A","2020",12,
"IRL","WORKEXPOV","SNGLNOCHLD","HR_AVEWAGE","A","2021",12,
"IRL","WORKEXPOV","SNGLNOCHLD","HR_AVEWAGE","A","2022",12,
"ITA","WORKEXPOV","SNGL2CHLD","HR_AVEWAGE","A","2019",19,
"ITA","WORKEXPOV","SNGL2CHLD","HR_AVEWAGE","A","2020",18,
"ITA","WORKEXPOV","SNGL2CHLD","HR_AVEWAGE","A","2021",18,
"ITA","WORKEXPOV","SNGL2CHLD","HR_AVEWAGE","A","2022",20,
"ITA","WORKEXPOV","SNGLNOCHLD","HR_AVEWAGE","A","2019",13,
"ITA","WORKEXPOV","SNGLNOCHLD","HR_AVEWAGE","A","2020",12,
"ITA","WORKEXPOV","SNGLNOCHLD","HR_AVEWAGE","A","2021",12,
"ITA","WORKEXPOV","SNGLNOCHLD","HR_AVEWAGE","A","2022",13,
"LUX","WORKEXPOV","SNGL2CHLD","HR_AVEWAGE","A","2019",3,
"LUX","WORKEXPOV","SNGL2CHLD","HR_AVEWAGE","A","2020",22,
"LUX","WORKEXPOV","SNGL2CHLD","HR_AVEWAGE","A","2021",23,
"LUX","WORKEXPOV","SNGL2CHLD","HR_AVEWAGE","A","2022",25,
"LUX","WORKEXPOV","SNGLNOCHLD","HR_AVEWAGE","A","2019",13,
"LUX","WORKEXPOV","SNGLNOCHLD","HR_AVEWAGE","A","2020",17,
"LUX","WORKEXPOV","SNGLNOCHLD","HR_AVEWAGE","A","2021",18,
"LUX","WORKEXPOV","SNGLNOCHLD","HR_AVEWAGE","A","2022",18,
"NLD","WORKEXPOV","SNGL2CHLD","HR_AVEWAGE","A","2019",13,
"NLD","WORKEXPOV","SNGL2CHLD","HR_AVEWAGE","A","2020",13,
"NLD","WORKEXPOV","SNGL2CHLD","HR_AVEWAGE","A","2021",14,
"NLD","WORKEXPOV","SNGL2CHLD","HR_AVEWAGE","A","2022",15,
"NLD","WORKEXPOV","SNGLNOCHLD","HR_AVEWAGE","A","2019",13,
"NLD","WORKEXPOV","SNGLNOCHLD","HR_AVEWAGE","A","2020",13,
"NLD","WORKEXPOV","SNGLNOCHLD","HR_AVEWAGE","A","2021",13,
"NLD","WORKEXPOV","SNGLNOCHLD","HR_AVEWAGE","A","2022",14,
"POL","WORKEXPOV","SNGL2CHLD","HR_AVEWAGE","A","2019",12,
"POL","WORKEXPOV","SNGL2CHLD","HR_AVEWAGE","A","2020",11,
"POL","WORKEXPOV","SNGL2CHLD","HR_AVEWAGE","A","2021",12,
"POL","WORKEXPOV","SNGL2CHLD","HR_AVEWAGE","A","2022",15,
"POL","WORKEXPOV","SNGLNOCHLD","HR_AVEWAGE","A","2019",19,
"POL","WORKEXPOV","SNGLNOCHLD","HR_AVEWAGE","A","2020",17,
"POL","WORKEXPOV","SNGLNOCHLD","HR_AVEWAGE","A","2021",18,
"POL","WORKEXPOV","SNGLNOCHLD","HR_AVEWAGE","A","2022",17,
"PRT","WORKEXPOV","SNGL2CHLD","HR_AVEWAGE","A","2019",22,
"PRT","WORKEXPOV","SNGL2CHLD","HR_AVEWAGE","A","2020",22,
"PRT","WORKEXPOV","SNGL2CHLD","HR_AVEWAGE","A","2021",21,
"PRT","WORKEXPOV","SNGL2CHLD","HR_AVEWAGE","A","2022",22,
"PRT","WORKEXPOV","SNGLNOCHLD","HR_AVEWAGE","A","2019",14,
"PRT","WORKEXPOV","SNGLNOCHLD","HR_AVEWAGE","A","2020",14,
"PRT","WORKEXPOV","SNGLNOCHLD","HR_AVEWAGE","A","2021",14,
"PRT","WORKEXPOV","SNGLNOCHLD","HR_AVEWAGE","A","2022",14,
"SVK","WORKEXPOV","SNGL2CHLD","HR_AVEWAGE","A","2019",28,
"SVK","WORKEXPOV","SNGL2CHLD","HR_AVEWAGE","A","2020",26,
"SVK","WORKEXPOV","SNGL2CHLD","HR_AVEWAGE","A","2021",25,
"SVK","WORKEXPOV","SNGL2CHLD","HR_AVEWAGE","A","2022",27,
"SVK","WORKEXPOV","SNGLNOCHLD","HR_AVEWAGE","A","2019",19,
"SVK","WORKEXPOV","SNGLNOCHLD","HR_AVEWAGE","A","2020",19,
"SVK","WORKEXPOV","SNGLNOCHLD","HR_AVEWAGE","A","2021",18,
"SVK","WORKEXPOV","SNGLNOCHLD","HR_AVEWAGE","A","2022",19,
"ESP","WORKEXPOV","SNGL2CHLD","HR_AVEWAGE","A","2019",22,
"ESP","WORKEXPOV","SNGL2CHLD","HR_AVEWAGE","A","2020",23,
"ESP","WORKEXPOV","SNGL2CHLD","HR_AVEWAGE","A","2021",23,
"ESP","WORKEXPOV","SNGL2CHLD","HR_AVEWAGE","A","2022",24,
"ESP","WORKEXPOV","SNGLNOCHLD","HR_AVEWAGE","A","2019",14,
"ESP","WORKEXPOV","SNGLNOCHLD","HR_AVEWAGE","A","2020",14,
"ESP","WORKEXPOV","SNGLNOCHLD","HR_AVEWAGE","A","2021",14,
"ESP","WORKEXPOV","SNGLNOCHLD","HR_AVEWAGE","A","2022",15,
"SWE","WORKEXPOV","SNGL2CHLD","HR_AVEWAGE","A","2019",22,
"SWE","WORKEXPOV","SNGL2CHLD","HR_AVEWAGE","A","2020",21,
"SWE","WORKEXPOV","SNGL2CHLD","HR_AVEWAGE","A","2021",22,
"SWE","WORKEXPOV","SNGL2CHLD","HR_AVEWAGE","A","2022",23,
"SWE","WORKEXPOV","SNGLNOCHLD","HR_AVEWAGE","A","2019",16,
"SWE","WORKEXPOV","SNGLNOCHLD","HR_AVEWAGE","A","2020",16,
"SWE","WORKEXPOV","SNGLNOCHLD","HR_AVEWAGE","A","2021",16,
"SWE","WORKEXPOV","SNGLNOCHLD","HR_AVEWAGE","A","2022",17,
"GBR","WORKEXPOV","SNGL2CHLD","HR_AVEWAGE","A","2019",5,
"GBR","WORKEXPOV","SNGL2CHLD","HR_AVEWAGE","A","2020",4,
"GBR","WORKEXPOV","SNGL2CHLD","HR_AVEWAGE","A","2021",4,
"GBR","WORKEXPOV","SNGL2CHLD","HR_AVEWAGE","A","2022",6,
"GBR","WORKEXPOV","SNGLNOCHLD","HR_AVEWAGE","A","2019",10,
"GBR","WORKEXPOV","SNGLNOCHLD","HR_AVEWAGE","A","2020",10,
"GBR","WORKEXPOV","SNGLNOCHLD","HR_AVEWAGE","A","2021",10,
"GBR","WORKEXPOV","SNGLNOCHLD","HR_AVEWAGE","A","2022",10,
"BGR","WORKEXPOV","SNGL2CHLD","HR_AVEWAGE","A","2019",19,
"BGR","WORKEXPOV","SNGL2CHLD","HR_AVEWAGE","A","2020",21,
"BGR","WORKEXPOV","SNGL2CHLD","HR_AVEWAGE","A","2021",18,
"BGR","WORKEXPOV","SNGL2CHLD","HR_AVEWAGE","A","2022",18,
"BGR","WORKEXPOV","SNGLNOCHLD","HR_AVEWAGE","A","2019",17,
"BGR","WORKEXPOV","SNGLNOCHLD","HR_AVEWAGE","A","2020",18,
"BGR","WORKEXPOV","SNGLNOCHLD","HR_AVEWAGE","A","2021",16,
"BGR","WORKEXPOV","SNGLNOCHLD","HR_AVEWAGE","A","2022",16,
"HRV","WORKEXPOV","SNGL2CHLD","HR_AVEWAGE","A","2019",27,
"HRV","WORKEXPOV","SNGL2CHLD","HR_AVEWAGE","A","2020",27,
"HRV","WORKEXPOV","SNGL2CHLD","HR_AVEWAGE","A","2021",26,
"HRV","WORKEXPOV","SNGL2CHLD","HR_AVEWAGE","A","2022",27,
"HRV","WORKEXPOV","SNGLNOCHLD","HR_AVEWAGE","A","2019",17,
"HRV","WORKEXPOV","SNGLNOCHLD","HR_AVEWAGE","A","2020",17,
"HRV","WORKEXPOV","SNGLNOCHLD","HR_AVEWAGE","A","2021",17,
"HRV","WORKEXPOV","SNGLNOCHLD","HR_AVEWAGE","A","2022",17,
"CYP","WORKEXPOV","SNGL2CHLD","HR_AVEWAGE","A","2019",22,
"CYP","WORKEXPOV","SNGL2CHLD","HR_AVEWAGE","A","2020",22,
"CYP","WORKEXPOV","SNGL2CHLD","HR_AVEWAGE","A","2021",22,
"CYP","WORKEXPOV","SNGL2CHLD","HR_AVEWAGE","A","2022",23,
"CYP","WORKEXPOV","SNGLNOCHLD","HR_AVEWAGE","A","2019",18,
"CYP","WORKEXPOV","SNGLNOCHLD","HR_AVEWAGE","A","2020",19,
"CYP","WORKEXPOV","SNGLNOCHLD","HR_AVEWAGE","A","2021",19,
"CYP","WORKEXPOV","SNGLNOCHLD","HR_AVEWAGE","A","2022",19,
"EST","WORKEXPOV","SNGL2CHLD","HR_AVEWAGE","A","2019",20,
"EST","WORKEXPOV","SNGL2CHLD","HR_AVEWAGE","A","2020",21,
"EST","WORKEXPOV","SNGL2CHLD","HR_AVEWAGE","A","2021",21,
"EST","WORKEXPOV","SNGL2CHLD","HR_AVEWAGE","A","2022",26,
"EST","WORKEXPOV","SNGLNOCHLD","HR_AVEWAGE","A","2019",18,
"EST","WORKEXPOV","SNGLNOCHLD","HR_AVEWAGE","A","2020",18,
"EST","WORKEXPOV","SNGLNOCHLD","HR_AVEWAGE","A","2021",17,
"EST","WORKEXPOV","SNGLNOCHLD","HR_AVEWAGE","A","2022",20,
"LVA","WORKEXPOV","SNGL2CHLD","HR_AVEWAGE","A","2019",20,
"LVA","WORKEXPOV","SNGL2CHLD","HR_AVEWAGE","A","2020",20,
"LVA","WORKEXPOV","SNGL2CHLD","HR_AVEWAGE","A","2021",17,
"LVA","WORKEXPOV","SNGL2CHLD","HR_AVEWAGE","A","2022",18,
"LVA","WORKEXPOV","SNGLNOCHLD","HR_AVEWAGE","A","2019",20,
"LVA","WORKEXPOV","SNGLNOCHLD","HR_AVEWAGE","A","2020",19,
"LVA","WORKEXPOV","SNGLNOCHLD","HR_AVEWAGE","A","2021",17,
"LVA","WORKEXPOV","SNGLNOCHLD","HR_AVEWAGE","A","2022",19,
"LTU","WORKEXPOV","SNGL2CHLD","HR_AVEWAGE","A","2019",18,
"LTU","WORKEXPOV","SNGL2CHLD","HR_AVEWAGE","A","2020",16,
"LTU","WORKEXPOV","SNGL2CHLD","HR_AVEWAGE","A","2021",15,
"LTU","WORKEXPOV","SNGL2CHLD","HR_AVEWAGE","A","2022",17,
"LTU","WORKEXPOV","SNGLNOCHLD","HR_AVEWAGE","A","2019",17,
"LTU","WORKEXPOV","SNGLNOCHLD","HR_AVEWAGE","A","2020",17,
"LTU","WORKEXPOV","SNGLNOCHLD","HR_AVEWAGE","A","2021",16,
"LTU","WORKEXPOV","SNGLNOCHLD","HR_AVEWAGE","A","2022",16,
"MLT","WORKEXPOV","SNGL2CHLD","HR_AVEWAGE","A","2019",24,
"MLT","WORKEXPOV","SNGL2CHLD","HR_AVEWAGE","A","2020",23,
"MLT","WORKEXPOV","SNGL2CHLD","HR_AVEWAGE","A","2021",24,
"MLT","WORKEXPOV","SNGL2CHLD","HR_AVEWAGE","A","2022",26,
"MLT","WORKEXPOV","SNGLNOCHLD","HR_AVEWAGE","A","2019",16,
"MLT","WORKEXPOV","SNGLNOCHLD","HR_AVEWAGE","A","2020",16,
"MLT","WORKEXPOV","SNGLNOCHLD","HR_AVEWAGE","A","2021",16,
"MLT","WORKEXPOV","SNGLNOCHLD","HR_AVEWAGE","A","2022",16,
"ROU","WORKEXPOV","SNGL2CHLD","HR_AVEWAGE","A","2019",18,
"ROU","WORKEXPOV","SNGL2CHLD","HR_AVEWAGE","A","2020",18,
"ROU","WORKEXPOV","SNGL2CHLD","HR_AVEWAGE","A","2021",16,
"ROU","WORKEXPOV","SNGL2CHLD","HR_AVEWAGE","A","2022",20,
"ROU","WORKEXPOV","SNGLNOCHLD","HR_AVEWAGE","A","2019",14,
"ROU","WORKEXPOV","SNGLNOCHLD","HR_AVEWAGE","A","2020",14,
"ROU","WORKEXPOV","SNGLNOCHLD","HR_AVEWAGE","A","2021",14,
"ROU","WORKEXPOV","SNGLNOCHLD","HR_AVEWAGE","A","2022",14,
"SVN","WORKEXPOV","SNGL2CHLD","HR_AVEWAGE","A","2019",14,
"SVN","WORKEXPOV","SNGL2CHLD","HR_AVEWAGE","A","2020",29,
"SVN","WORKEXPOV","SNGL2CHLD","HR_AVEWAGE","A","2021",29,
"SVN","WORKEXPOV","SNGL2CHLD","HR_AVEWAGE","A","2022",34,
"SVN","WORKEXPOV","SNGLNOCHLD","HR_AVEWAGE","A","2019",22,
"SVN","WORKEXPOV","SNGLNOCHLD","HR_AVEWAGE","A","2020",23,
"SVN","WORKEXPOV","SNGLNOCHLD","HR_AVEWAGE","A","2021",22,
"SVN","WORKEXPOV","SNGLNOCHLD","HR_AVEWAGE","A","2022",23,
"OECD","WORKEXPOV","SNGL2CHLD","HR_AVEWAGE","A","2019",16,
"OECD","WORKEXPOV","SNGL2CHLD","HR_AVEWAGE","A","2020",17,
"OECD","WORKEXPOV","SNGL2CHLD","HR_AVEWAGE","A","2021",17,
"OECD","WORKEXPOV","SNGL2CHLD","HR_AVEWAGE","A","2022",18,
"OECD","WORKEXPOV","SNGLNOCHLD","HR_AVEWAGE","A","2019",15,
"OECD","WORKEXPOV","SNGLNOCHLD","HR_AVEWAGE","A","2020",15,
"OECD","WORKEXPOV","SNGLNOCHLD","HR_AVEWAGE","A","2021",14,
"OECD","WORKEXPOV","SNGLNOCHLD","HR_AVEWAGE","A","2022",15,
